;pv_mw;bess_mw;bess_h;contract_share;capex_kEUR;hybridisation_IRR;NPV_@15pct_kEUR;avg_revenue_kEUR_yr;avg_EBITDA_kEUR_yr;avg_tax_kEUR_yr
1;0;10;4;0.5;10105;14.85%;-72;2225;1781;266
2;0;10;4;0.25;10105;14.84%;-74;2222;1778;265
3;0;10;4;0.75;10105;14.84%;-76;2227;1781;266
4;0;10;4;0;10105;14.82%;-86;2216;1771;264
5;0;10;4;1;10105;14.79%;-98;2220;1774;265
6;0;8;4;0.5;8255;14.44%;-212;1771;1415;211
7;0;8;4;0.25;8255;14.44%;-214;1768;1412;210
8;0;8;4;0.75;8255;14.44%;-215;1774;1416;211
9;0;8;4;0;8255;14.41%;-226;1762;1405;209
10;0;8;4;1;8255;14.38%;-236;1767;1410;210
11;2;10;4;0.75;11129;13.89%;-576;2351;1870;273
12;2;10;4;1;11129;13.88%;-582;2347;1868;272
13;2;10;4;0.5;11129;13.85%;-594;2340;1863;271
14;0;12;4;0;11955;13.79%;-665;2507;1977;286
15;0;12;4;0.5;11955;13.79%;-666;2510;1980;286
16;2;10;4;0.25;11129;13.79%;-622;2327;1850;269
17;0;12;4;0.25;11955;13.79%;-666;2508;1978;286
18;0;12;4;0.75;11955;13.79%;-670;2512;1980;286
19;0;12;4;1;11955;13.74%;-692;2506;1974;285
20;2;10;4;0;11129;13.70%;-669;2311;1831;265
21;0;6;4;0.5;6405;13.69%;-380;1311;1044;154
22;0;6;4;0.75;6405;13.68%;-383;1313;1044;155
23;0;6;4;0.25;6405;13.68%;-382;1308;1040;154
24;0;6;4;0;6405;13.63%;-394;1301;1033;152
25;0;6;4;1;6405;13.61%;-401;1307;1039;153
26;2;8;4;0.75;9279;13.35%;-705;1899;1508;218
27;2;8;4;1;9279;13.34%;-710;1897;1507;218
28;2;8;4;0.5;9279;13.31%;-722;1889;1500;217
29;2;8;4;0.25;9279;13.23%;-752;1875;1487;214
30;2;8;4;0;9279;13.11%;-798;1859;1468;210
31;2;12;4;0.75;12979;13.03%;-1178;2634;2068;293
32;2;12;4;1;12979;13.01%;-1189;2630;2065;292
33;2;12;4;0.5;12979;13.00%;-1194;2623;2060;291
34;2;12;4;0.25;12979;12.95%;-1224;2611;2048;289
35;4;10;4;1;12153;12.90%;-1182;2452;1939;275
36;2;12;4;0;12979;12.88%;-1258;2599;2035;286
37;4;10;4;0;12153;12.69%;-1283;2399;1884;264
38;2;6;4;1;7429;12.42%;-869;1438;1137;162
39;2;6;4;0.75;7429;12.41%;-871;1438;1136;162
40;2;6;4;0.5;7429;12.36%;-888;1429;1129;160
41;4;8;4;1;10303;12.26%;-1297;2005;1580;222
42;2;6;4;0.25;7429;12.25%;-918;1416;1116;158
43;4;8;4;0.5;10303;12.24%;-1304;1993;1569;219
44;4;12;4;1;14003;12.22%;-1791;2733;2134;295
45;4;12;4;0.75;14003;12.20%;-1803;2734;2132;294
46;4;12;4;0.5;14003;12.20%;-1799;2722;2125;293
47;4;8;4;0.75;10303;12.19%;-1328;2000;1572;220
48;4;8;4;0.25;10303;12.15%;-1335;1975;1552;216
49;4;12;4;0.25;14003;12.14%;-1826;2705;2109;289
50;2;6;4;0;7429;12.10%;-961;1399;1097;154
51;0;4;4;0.5;4555;12.05%;-583;845;666;98
52;4;12;4;0;14003;12.05%;-1875;2686;2088;285
53;0;4;4;0.25;4555;12.04%;-584;841;663;97
54;0;4;4;0.75;4555;12.01%;-592;845;666;99
55;4;8;4;0;10303;12.00%;-1394;1951;1526;210
56;0;4;4;0;4555;11.97%;-595;835;656;97
57;6;10;4;0.25;13177;11.91%;-1863;2510;1963;269
58;6;10;4;0.5;13177;11.90%;-1879;2526;1975;271
59;0;4;4;1;4555;11.89%;-612;841;662;99
60;6;10;4;1;13177;11.84%;-1922;2527;1977;271
61;6;10;4;0;13177;11.78%;-1921;2483;1932;262
62;6;10;4;0.75;13177;11.77%;-1954;2517;1962;268
63;6;12;4;0.25;15027;11.37%;-2479;2789;2159;288
64;6;12;4;1;15027;11.31%;-2532;2806;2171;291
65;6;12;4;0.75;15027;11.29%;-2546;2805;2164;289
66;6;12;4;0;15027;11.28%;-2516;2767;2135;283
67;4;6;4;1;8453;11.20%;-1455;1546;1211;166
68;6;8;4;0.25;11327;11.14%;-1973;2064;1605;215
69;4;6;4;0.5;8453;11.14%;-1468;1535;1199;163
70;6;8;4;0.5;11327;11.12%;-1996;2078;1615;217
71;4;6;4;0.75;8453;11.08%;-1495;1538;1199;163
72;8;10;4;0.25;14201;11.06%;-2540;2592;2008;266
73;4;6;4;0.25;8453;11.04%;-1495;1517;1183;160
74;6;8;4;0;11327;10.99%;-2027;2037;1575;209
75;8;10;4;0.5;14201;10.98%;-2604;2602;2011;267
76;6;8;4;0.75;11327;10.96%;-2078;2065;1599;214
77;8;10;4;0;14201;10.96%;-2577;2563;1975;259
78;8;10;4;1;14201;10.84%;-2703;2590;2005;265
79;4;6;4;0;8453;10.83%;-1555;1493;1156;154
80;8;10;4;0.75;14201;10.73%;-2752;2571;1977;259
81;8;12;4;0;16051;10.58%;-3176;2846;2178;280
82;2;4;4;0.5;5579;10.55%;-1083;964;752;104
83;2;4;4;0.25;5579;10.40%;-1110;951;740;101
84;10;10;4;0.25;15225;10.30%;-3224;2672;2049;263
85;8;8;4;0.25;12351;10.23%;-2644;2147;1651;213
86;10;10;4;0;15225;10.21%;-3246;2642;2016;256
87;2;4;4;0;5579;10.15%;-1156;934;722;99
88;10;10;4;0.5;15225;10.14%;-3352;2670;2041;261
89;8;8;4;0;12351;10.11%;-2675;2119;1620;206
90;8;8;4;0.5;12351;10.11%;-2725;2152;1649;212
91;8;8;4;1;12351;9.98%;-2810;2146;1649;213
92;10;12;4;0.25;17075;9.97%;-3851;2947;2241;281
93;10;12;4;0;17075;9.93%;-3848;2923;2219;277
94;6;6;4;0.25;9477;9.92%;-2131;1605;1235;159
95;10;10;4;1;15225;9.90%;-3530;2646;2024;258
96;6;6;4;1;9477;9.86%;-2187;1624;1253;165
97;10;12;4;0.5;17075;9.85%;-3964;2951;2238;281
98;10;10;4;0.75;15225;9.80%;-3563;2624;1990;250
99;6;6;4;0.75;9477;9.67%;-2250;1603;1226;158
100;12;10;4;0.25;16249;9.61%;-3921;2749;2089;259
101;10;12;4;1;17075;9.60%;-4158;2922;2215;277
102;10;12;4;0.75;17075;9.56%;-4164;2912;2193;272
103;12;10;4;0;16249;9.54%;-3922;2718;2055;252
104;10;8;4;0.25;13375;9.41%;-3325;2227;1693;210
105;12;12;4;0.25;18099;9.36%;-4547;3024;2281;278
