;pv_mw;bess_mw;bess_h;contract_share;capex_kEUR;hybridisation_IRR;NPV_@15pct_kEUR;avg_revenue_kEUR_yr;avg_EBITDA_kEUR_yr;avg_tax_kEUR_yr
1;2;0;2;0;1879;;-1823;-30;-76;3
2;2;0;2;0.25;1879;;-1801;-20;-67;3
3;2;0;2;0.5;1879;;-1778;-11;-57;3
4;2;0;2;0.75;1879;;-1756;-1;-47;4
5;2;0;2;1;1879;;-1735;9;-37;6
6;2;2;2;0;3117;;-2756;73;-53;2
7;2;2;2;0.25;3117;;-3047;21;-105;1
8;2;2;2;0.5;3117;;-3112;12;-114;0
9;2;2;2;0.75;3117;;-3122;16;-110;0
10;2;2;2;1;3117;;-3119;22;-103;0
11;2;2;4;0;3729;;-2912;136;28;4
12;2;2;4;0.25;3729;;-3472;30;-78;1
13;2;2;4;0.5;3729;;-3558;18;-90;0
14;2;2;4;0.75;3729;;-3572;21;-87;0
15;2;2;4;1;3729;;-3574;25;-82;1
16;2;4;2;0;4355;;-3815;160;-45;2
17;2;4;2;0.25;4355;;-4340;56;-149;0
18;2;4;2;0.5;4355;;-4486;31;-174;0
19;2;4;2;0.75;4355;;-4523;31;-174;0
20;2;4;2;1;4355;;-4546;33;-171;0
21;2;4;4;0;5579;;-4449;231;61;6
22;2;4;4;0.25;5579;;-5216;68;-100;0
23;2;4;4;0.5;5579;;-5399;36;-132;0
24;2;4;4;0.75;5579;;-5436;38;-131;0
25;2;4;4;1;5579;;-5467;38;-130;0
26;2;6;2;0;5593;;-5001;226;-58;1
27;2;6;2;0.25;5593;;-5662;86;-197;0
28;2;6;2;0.5;5593;;-5882;46;-238;0
29;2;6;2;0.75;5593;;-5939;44;-239;0
30;2;6;2;1;5593;;-5989;43;-240;0
31;2;6;4;0;7429;;-6162;295;63;6
32;2;6;4;0.25;7429;;-6994;102;-126;0
33;2;6;4;0.5;7429;;-7264;52;-177;0
34;2;6;4;0.75;7429;;-7324;51;-178;0
35;2;6;4;1;7429;;-7375;50;-178;0
36;2;8;2;0;6831;;-6288;275;-89;1
37;2;8;2;0.25;6831;;-7001;114;-248;0
38;2;8;2;0.5;6831;;-7291;59;-303;0
39;2;8;2;0.75;6831;;-7371;55;-307;0
40;2;8;2;1;6831;;-7435;53;-308;0
41;2;8;4;0;9279;;-7916;349;56;6
42;2;8;4;0.25;9279;;-8793;134;-155;0
43;2;8;4;0.5;9279;;-9140;66;-223;0
44;2;8;4;0.75;9279;;-9226;63;-227;0
45;2;8;4;1;9279;;-9297;61;-228;0
46;2;10;2;0;8069;;-7609;316;-128;0
47;2;10;2;0.25;8069;;-8357;139;-302;0
48;2;10;2;0.5;8069;;-8713;71;-370;0
49;2;10;2;0.75;8069;;-8819;65;-377;0
50;2;10;2;1;8069;;-8897;61;-379;0
