charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
A;2;0;2;0;0;2027;114433.6321;0;39181.95221;114433.6321;0;0;0;0;0;36618.73;2563.22221;956.8492981;0;0;0;0;0;0;1;0;29.1;ok
A;2;0;2;0;0;2028;124810.461;0;14035.97668;124810.461;0;0;0;0;0;10821.03;3214.946676;287.5244746;0;0;0;0;0;0;1;0;29;ok
A;2;0;2;0;0;2029;110113.0728;0;29957.72331;110113.0728;0;0;0;0;0;27009.05;2948.673305;536.2854901;0;0;0;0;0;0;1;0;28.7;ok
A;2;0;2;0;0;2030;115326.1806;0;28101.61785;115326.1806;0;0;0;0;0;25035.85;3065.767848;401.7661528;0;0;0;0;0;0;1;0;28.7;ok
A;2;0;2;0;0;2031;139050.6654;0;32219.32402;139050.6654;0;0;0;0;0;29098.24;3121.084017;329.1123145;0;0;0;0;0;0;1;0;29;ok
A;2;0;2;0;0;2032;110384.1407;0;26709.07886;110384.1407;0;0;0;0;0;23708.16;3000.918862;432.0264871;0;0;0;0;0;0;1;0;28.8;ok
A;2;0;2;0;0;2033;112404.3139;0;19371.19028;112404.3139;0;0;0;0;0;16256.77;3114.420281;301.3603418;0;0;0;0;0;0;1;0;29;ok
A;2;0;2;0;0;2034;98226.92886;0;22338.92776;98226.92886;0;0;0;0;0;19281.22;3057.707756;340.9939641;0;0;0;0;0;0;1;0;29;ok
A;2;0;2;0;0.25;2027;85632.22711;665.1903736;39279.49149;85632.22711;0;0;0;0;0;36618.73;2660.761495;859.3100139;0;0;0;214.8275033;0;0;1;0;29.4;ok
A;2;0;2;0;0.25;2028;93202.84162;855.0339028;14241.16561;93202.84162;0;0;0;0;0;10821.03;3420.135611;82.33553969;0;0;0;20.58388492;0;0;1;0;29.4;ok
A;2;0;2;0;0.25;2029;82320.48116;772.0116881;30097.09675;82320.48116;0;0;0;0;0;27009.05;3088.046752;396.9120428;0;0;0;99.2280107;0;0;1;0;29.6;ok
A;2;0;2;0;0.25;2030;85930.86109;826.2285141;28340.76406;85930.86109;0;0;0;0;0;25035.85;3304.914057;162.6199446;0;0;0;40.65498614;0;0;1;0;35.2;ok
A;2;0;2;0;0.25;2031;104098.2573;818.6614636;32372.88585;104098.2573;0;0;0;0;0;29098.24;3274.645854;175.5504767;0;0;0;43.88761918;0;0;1;0;29.4;ok
A;2;0;2;0;0.25;2032;82638.54239;786.8441275;26855.53651;82638.54239;0;0;0;0;0;23708.16;3147.37651;285.5688397;0;0;0;71.39220951;0;0;1;0;29.8;ok
A;2;0;2;0;0.25;2033;84095.62813;817.2433759;19525.7435;84095.62813;0;0;0;0;0;16256.77;3268.973504;146.8071192;0;0;0;36.70177977;0;0;1;0;32.8;ok
A;2;0;2;0;0.25;2034;73488.23913;805.5652719;22503.48109;73488.23913;0;0;0;0;0;19281.22;3222.261088;176.440632;0;0;0;44.11015762;0;0;1;0;34.5;ok
A;2;0;2;0;0.5;2027;57088.15141;1330.380747;39279.49149;57088.15141;0;0;0;0;0;36618.73;2660.761495;859.3100139;0;0;0;429.6550066;0;0;1;0;33.4;ok
