charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
B;0;0;2;0;0;2027;0;0;36618.73;0;0;0;0;0;0;36618.73;0;0;0;0;0;0;0;0;1;0;30;ok
B;0;0;2;0;0;2028;0;0;10821.03;0;0;0;0;0;0;10821.03;0;0;0;0;0;0;0;0;1;0;28.3;ok
B;0;0;2;0;0;2029;0;0;27009.05;0;0;0;0;0;0;27009.05;0;0;0;0;0;0;0;0;1;0;28.5;ok
B;0;0;2;0;0;2030;0;0;25035.85;0;0;0;0;0;0;25035.85;0;0;0;0;0;0;0;0;1;0;28;ok
B;0;0;2;0;0;2031;0;0;29098.24;0;0;0;0;0;0;29098.24;0;0;0;0;0;0;0;0;1;0;28.3;ok
B;0;0;2;0;0;2032;0;0;23708.16;0;0;0;0;0;0;23708.16;0;0;0;0;0;0;0;0;1;0;28.2;ok
B;0;0;2;0;0;2033;0;0;16256.77;0;0;0;0;0;0;16256.77;0;0;0;0;0;0;0;0;1;0;28.2;ok
B;0;0;2;0;0;2034;0;0;19281.22;0;0;0;0;0;0;19281.22;0;0;0;0;0;0;0;0;1;0;28.2;ok
B;0;0;2;0;0.25;2027;0;0;36618.73;0;0;0;0;0;0;36618.73;0;0;0;0;0;0;0;0;1;0;28.7;ok
B;0;0;2;0;0.25;2028;0;0;10821.03;0;0;0;0;0;0;10821.03;0;0;0;0;0;0;0;0;1;0;28.7;ok
B;0;0;2;0;0.25;2029;0;0;27009.05;0;0;0;0;0;0;27009.05;0;0;0;0;0;0;0;0;1;0;28.7;ok
B;0;0;2;0;0.25;2030;0;0;25035.85;0;0;0;0;0;0;25035.85;0;0;0;0;0;0;0;0;1;0;28.6;ok
B;0;0;2;0;0.25;2031;0;0;29098.24;0;0;0;0;0;0;29098.24;0;0;0;0;0;0;0;0;1;0;28.7;ok
B;0;0;2;0;0.25;2032;0;0;23708.16;0;0;0;0;0;0;23708.16;0;0;0;0;0;0;0;0;1;0;28.8;ok
B;0;0;2;0;0.25;2033;0;0;16256.77;0;0;0;0;0;0;16256.77;0;0;0;0;0;0;0;0;1;0;28.7;ok
B;0;0;2;0;0.25;2034;0;0;19281.22;0;0;0;0;0;0;19281.22;0;0;0;0;0;0;0;0;1;0;29;ok
B;0;0;2;0;0.5;2027;0;0;36618.73;0;0;0;0;0;0;36618.73;0;0;0;0;0;0;0;0;1;0;29.1;ok
B;0;0;2;0;0.5;2028;0;0;10821.03;0;0;0;0;0;0;10821.03;0;0;0;0;0;0;0;0;1;0;28.9;ok
B;0;0;2;0;0.5;2029;0;0;27009.05;0;0;0;0;0;0;27009.05;0;0;0;0;0;0;0;0;1;0;28.9;ok
B;0;0;2;0;0.5;2030;0;0;25035.85;0;0;0;0;0;0;25035.85;0;0;0;0;0;0;0;0;1;0;28.9;ok
B;0;0;2;0;0.5;2031;0;0;29098.24;0;0;0;0;0;0;29098.24;0;0;0;0;0;0;0;0;1;0;28.9;ok
B;0;0;2;0;0.5;2032;0;0;23708.16;0;0;0;0;0;0;23708.16;0;0;0;0;0;0;0;0;1;0;28.9;ok
B;0;0;2;0;0.5;2033;0;0;16256.77;0;0;0;0;0;0;16256.77;0;0;0;0;0;0;0;0;1;0;29;ok
B;0;0;2;0;0.5;2034;0;0;19281.22;0;0;0;0;0;0;19281.22;0;0;0;0;0;0;0;0;1;0;28.9;ok
B;0;0;2;0;0.75;2027;0;0;36618.73;0;0;0;0;0;0;36618.73;0;0;0;0;0;0;0;0;1;0;28.9;ok
B;0;0;2;0;0.75;2028;0;0;10821.03;0;0;0;0;0;0;10821.03;0;0;0;0;0;0;0;0;1;0;29;ok
B;0;0;2;0;0.75;2029;0;0;27009.05;0;0;0;0;0;0;27009.05;0;0;0;0;0;0;0;0;1;0;29.1;ok
B;0;0;2;0;0.75;2030;0;0;25035.85;0;0;0;0;0;0;25035.85;0;0;0;0;0;0;0;0;1;0;29;ok
B;0;0;2;0;0.75;2031;0;0;29098.24;0;0;0;0;0;0;29098.24;0;0;0;0;0;0;0;0;1;0;29.3;ok
B;0;0;2;0;0.75;2032;0;0;23708.16;0;0;0;0;0;0;23708.16;0;0;0;0;0;0;0;0;1;0;29.1;ok
B;0;0;2;0;0.75;2033;0;0;16256.77;0;0;0;0;0;0;16256.77;0;0;0;0;0;0;0;0;1;0;29.2;ok
B;0;0;2;0;0.75;2034;0;0;19281.22;0;0;0;0;0;0;19281.22;0;0;0;0;0;0;0;0;1;0;29.1;ok
B;0;0;2;0;1;2027;0;0;36618.73;0;0;0;0;0;0;36618.73;0;0;0;0;0;0;0;0;1;0;29.1;ok
B;0;0;2;0;1;2028;0;0;10821.03;0;0;0;0;0;0;10821.03;0;0;0;0;0;0;0;0;1;0;29.2;ok
B;0;0;2;0;1;2029;0;0;27009.05;0;0;0;0;0;0;27009.05;0;0;0;0;0;0;0;0;1;0;29.2;ok
B;0;0;2;0;1;2030;0;0;25035.85;0;0;0;0;0;0;25035.85;0;0;0;0;0;0;0;0;1;0;29.2;ok
B;0;0;2;0;1;2031;0;0;29098.24;0;0;0;0;0;0;29098.24;0;0;0;0;0;0;0;0;1;0;29.1;ok
B;0;0;2;0;1;2032;0;0;23708.16;0;0;0;0;0;0;23708.16;0;0;0;0;0;0;0;0;1;0;29.2;ok
B;0;0;2;0;1;2033;0;0;16256.77;0;0;0;0;0;0;16256.77;0;0;0;0;0;0;0;0;1;0;29.2;ok
B;0;0;2;0;1;2034;0;0;19281.22;0;0;0;0;0;0;19281.22;0;0;0;0;0;0;0;0;1;0;29.3;ok
B;0;2;2;4;0;2027;392577.2193;3.93369491;38178.44352;158574.8734;-326.0213778;55146.09324;4238.482454;99646.3992;75297.39237;36618.73;0;0;1860.056396;1638.534249;0;0;440;0.196877534;0.984387672;3498.590645;126;ok
B;0;2;2;4;0;2028;350529.9078;3.767922905;12776.37873;195189.7462;-241.1699191;14132.26;2657.175115;51667.62386;87124.27251;10821.03;0;0;2277.250625;2005.669084;0;0;540;0.196167883;0.980839416;4282.919709;101.5;ok
B;0;2;2;4;0;2029;307619.0351;0.18;28804.03083;184337.9921;-325.5863234;10766.76973;2596.413774;26768.56558;83474.88019;27009.05;0;0;2072.971132;1825.900963;0;0;491;0.196515612;0.982578062;3898.872095;64.2;ok
B;0;2;2;4;0;2030;301468.6271;0.520229669;26928.59497;193532.3129;-201.9926419;9923.015007;3766.475223;9906.500142;84542.31648;25035.85;0;0;2212.682834;1945.534088;0;0;524;3.729347121;0.981407137;4158.216922;59.7;ok
B;0;2;2;4;0;2031;310271.2242;1.57E-11;31020.03217;199612.0413;-241.5035036;7834.884833;3276.702112;7556.480462;92232.61905;29098.24;0;0;2224.646882;1959.376667;0;0;527;0.196260138;0.981300689;4184.02355;59.5;ok
B;0;2;2;4;0;2032;290447.5006;0.0225;25512.29445;182735.3552;-302.2114162;10271.53446;3205.817777;11894.40748;82642.59706;23708.16;0;0;2093.982324;1844.391077;0;0;496;0.19648013;0.982400649;3938.373401;57.1;ok
B;0;2;2;4;0;2033;291127.5647;0.328384269;18136.35693;181838.5568;-219.0500681;4304.290743;2329.252664;16245.90592;86628.60855;16256.77;0;0;2178.86254;1915.771989;0;0;516;3.730425791;0.981690998;4094.634529;56;ok
B;0;2;2;4;0;2034;275812.6674;3.75E-11;21103.71235;172856.4484;-252.0717059;10344.21112;4672.866437;11068.97391;77122.23916;19281.22;0;0;2145.749127;1889.947783;0;0;509;0.196387875;0.981939376;4035.696909;57.4;ok
B;0;2;2;4;0.25;2027;391076.3736;4.578329656;38176.59987;158458.5458;-294.7889611;53338.62138;4416.71795;100013.7562;75143.52124;36618.73;0;0;1859.560812;1638.098187;0;0;440;0.196877534;0.984387672;3497.658999;131.4;ok
B;0;2;2;4;0.25;2028;350317.4864;0.594403443;12776.67607;195447.1495;-225.4747816;14435.96141;2472.456618;51108.11001;87079.28365;10821.03;0;0;2276.92867;2005.385764;0;0;540;0.196167883;0.980839416;4282.314433;107;ok
B;0;2;2;4;0.25;2029;307896.1194;0.179999812;28802.54152;184420.7242;-330.6065208;10763.97354;2674.975688;26715.01547;83652.03698;27009.05;0;0;2072.613308;1825.586122;0;0;491;0.196515612;0.982578062;3898.19943;71;ok
B;0;2;2;4;0.25;2030;301556.818;0.35880831;26930.59032;194006.3674;-197.0558685;9962.136866;3607.075532;9902.988052;84275.30603;25035.85;0;0;2212.682834;1945.534088;0;0;524;3.729347121;0.981407137;4158.216922;66.6;ok
B;0;2;2;4;0.25;2031;309914.22;0;31019.76735;199426.3675;-228.5814924;7685.239625;3295.580424;7542.767977;92192.84592;29098.24;0;0;2224.637944;1959.368802;0;0;527;0.196260138;0.981300689;4184.006746;59.2;ok
B;0;2;2;4;0.25;2032;290447.5006;0.0225;25512.29445;182735.3552;-302.2114162;10271.53446;3205.817777;11894.40748;82642.59706;23708.16;0;0;2093.982324;1844.391077;0;0;496;0.19648013;0.982400649;3938.373401;59.3;ok
B;0;2;2;4;0.25;2033;291127.5647;0.328384269;18136.35693;181838.5568;-219.0500681;4304.290743;2329.252664;16245.90592;86628.60855;16256.77;0;0;2178.86254;1915.771989;0;0;516;3.730425791;0.981690998;4094.634529;58;ok
