charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
C;2;0;2;0;0;2035;1839684.39;0;35058.67372;1839684.39;0;0;0;0;0;32051.96302;3006.710704;374.9975068;0;0;0;0;0;0;1;0;93.5;ok
C;2;0;2;0;0;2036;2152048.551;0;41169.68746;2152048.551;0;0;0;0;0;38184.14749;2985.539971;379.2596985;0;0;0;0;0;0;1;0;124.8;ok
C;2;0;2;0;0;2037;879410.3789;0;16902.88512;879410.3789;0;0;0;0;0;13664.56049;3238.324626;109.6510459;0;0;0;0;0;0;1;0;161.5;ok
C;2;0;2;0;0;2038;1560674.484;0;38098.25882;1560674.484;0;0;0;0;0;35277.49302;2820.765802;510.4699917;0;0;0;0;0;0;1;0;87.8;ok
C;2;0;2;0;0;2039;622631.8535;0;13643.07325;622631.8535;0;0;0;0;0;10489.55311;3153.520146;161.0594687;0;0;0;0;0;0;1;0;80.5;ok
C;2;0;2;0;0;2040;1238347.065;0;29464.24339;1238347.065;0;0;0;0;0;26479.62998;2984.613403;313.3933132;0;0;0;0;0;0;1;0;80.6;ok
C;2;0;2;0;0;2041;1386246.93;0;27736.55185;1386246.93;0;0;0;0;0;24632.98292;3103.568932;177.9477502;0;0;0;0;0;0;1;0;80.9;ok
C;2;0;2;0;0;2042;1253149.829;0;31592.78722;1253149.829;0;0;0;0;0;28509.33893;3083.448284;181.6608155;0;0;0;0;0;0;1;0;80;ok
C;2;0;2;0;0;2043;1155730.496;0;26122.98493;1155730.496;0;0;0;0;0;23114.20939;3008.775543;240.0080111;0;0;0;0;0;0;1;0;80.9;ok
C;2;0;2;0;0;2044;1071471.449;0;19062.25817;1071471.449;0;0;0;0;0;15970.77106;3091.487111;141.0525248;0;0;0;0;0;0;1;0;81;ok
C;2;0;2;0;0.25;2035;1378300.639;9072.576505;36290.30602;1378300.639;0;0;0;0;0;33193.75982;3096.546199;285.1620118;0;0;0;320.5555475;0;0;1;0;82.5;ok
C;2;0;2;0;0.25;2036;1613060.717;10525.18131;42100.72525;1613060.717;0;0;0;0;0;39038.20984;3062.515417;302.2842533;0;0;0;344.268604;0;0;1;0;81.1;ok
C;2;0;2;0;0.25;2037;659136.1978;4340.739194;17362.95678;659136.1978;0;0;0;0;0;14025.20831;3337.748465;10.22720662;0;0;0;8.28222385;0;0;1;0;82.4;ok
C;2;0;2;0;0.25;2038;1169859.699;9785.154877;39140.61951;1169859.699;0;0;0;0;0;36239.02575;2901.593757;429.6420359;0;0;0;759.7715718;0;0;1;0;78.4;ok
C;2;0;2;0;0.25;2039;466739.6484;3514.033116;14056.13246;466739.6484;0;0;0;0;0;10780.97754;3275.154921;39.42469298;0;0;0;59.00178762;0;0;1;0;81.6;ok
C;2;0;2;0;0.25;2040;928534.8503;7483.181499;29932.726;928534.8503;0;0;0;0;0;26845.29599;3087.430011;210.576705;0;0;0;308.0326797;0;0;1;0;78.7;ok
C;2;0;2;0;0.25;2041;1039534.772;7040.919251;28163.677;1039534.772;0;0;0;0;0;24952.13655;3211.540459;69.97622383;0;0;0;142.9499196;0;0;1;0;80.8;ok
C;2;0;2;0;0.25;2042;939668.6936;8049.647394;32198.58958;939668.6936;0;0;0;0;0;29013.1976;3185.391976;79.71712334;0;0;0;118.9973811;0;0;1;0;80.5;ok
C;2;0;2;0;0.25;2043;866611.8789;6671.865148;26687.46059;866611.8789;0;0;0;0;0;23567.44359;3120.017001;128.7665529;0;0;0;226.9032404;0;0;1;0;81;ok
C;2;0;2;0;0.25;2044;803550.7062;4837.615567;19350.46227;803550.7062;0;0;0;0;0;16189.26988;3161.192395;71.34724148;0;0;0;133.0768416;0;0;1;0;80.6;ok
C;2;0;2;0;0.5;2035;918867.0927;18145.15301;36290.30602;918867.0927;0;0;0;0;0;33193.75982;3096.546199;285.1620118;0;0;0;641.111095;0;0;1;0;80.7;ok
C;2;0;2;0;0.5;2036;1075373.811;21050.36263;42100.72525;1075373.811;0;0;0;0;0;39038.20984;3062.515417;302.2842533;0;0;0;688.5372079;0;0;1;0;83.3;ok
C;2;0;2;0;0.5;2037;439424.1319;8681.478388;17362.95678;439424.1319;0;0;0;0;0;14025.20831;3337.748465;10.22720662;0;0;0;16.5644477;0;0;1;0;83.4;ok
C;2;0;2;0;0.5;2038;779906.4658;19570.30975;39140.61951;779906.4658;0;0;0;0;0;36239.02575;2901.593757;429.6420359;0;0;0;1519.543144;0;0;1;0;81.1;ok
C;2;0;2;0;0.5;2039;311159.7656;7028.066232;14056.13246;311159.7656;0;0;0;0;0;10780.97754;3275.154921;39.42469298;0;0;0;118.0035752;0;0;1;0;82.4;ok
C;2;0;2;0;0.5;2040;619023.2335;14966.363;29932.726;619023.2335;0;0;0;0;0;26845.29599;3087.430011;210.576705;0;0;0;616.0653594;0;0;1;0;81.4;ok
C;2;0;2;0;0.5;2041;693023.1812;14081.8385;28163.677;693023.1812;0;0;0;0;0;24952.13655;3211.540459;69.97622383;0;0;0;285.8998393;0;0;1;0;83;ok
C;2;0;2;0;0.5;2042;626445.7958;16099.29479;32198.58958;626445.7958;0;0;0;0;0;29013.1976;3185.391976;79.71712334;0;0;0;237.9947621;0;0;1;0;82.1;ok
C;2;0;2;0;0.5;2043;577741.2526;13343.7303;26687.46059;577741.2526;0;0;0;0;0;23567.44359;3120.017001;128.7665529;0;0;0;453.8064807;0;0;1;0;83.5;ok
C;2;0;2;0;0.5;2044;535700.4708;9675.231135;19350.46227;535700.4708;0;0;0;0;0;16189.26988;3161.192395;71.34724148;0;0;0;266.1536831;0;0;1;0;83.5;ok
C;2;0;2;0;0.75;2035;459433.5463;27217.72952;36290.30602;459433.5463;0;0;0;0;0;33193.75982;3096.546199;285.1620118;0;0;0;961.6666425;0;0;1;0;83.4;ok
C;2;0;2;0;0.75;2036;537686.9055;31575.54394;42100.72525;537686.9055;0;0;0;0;0;39038.20984;3062.515417;302.2842533;0;0;0;1032.805812;0;0;1;0;83.3;ok
C;2;0;2;0;0.75;2037;219712.0659;13022.21758;17362.95678;219712.0659;0;0;0;0;0;14025.20831;3337.748465;10.22720662;0;0;0;24.84667155;0;0;1;0;83.5;ok
C;2;0;2;0;0.75;2038;389953.2329;29355.46463;39140.61951;389953.2329;0;0;0;0;0;36239.02575;2901.593757;429.6420359;0;0;0;2279.314715;0;0;1;0;83;ok
C;2;0;2;0;0.75;2039;155579.8828;10542.09935;14056.13246;155579.8828;0;0;0;0;0;10780.97754;3275.154921;39.42469298;0;0;0;177.0053628;0;0;1;0;83.6;ok
C;2;0;2;0;0.75;2040;309511.6168;22449.5445;29932.726;309511.6168;0;0;0;0;0;26845.29599;3087.430011;210.576705;0;0;0;924.0980391;0;0;1;0;82.6;ok
C;2;0;2;0;0.75;2041;346511.5906;21122.75775;28163.677;346511.5906;0;0;0;0;0;24952.13655;3211.540459;69.97622383;0;0;0;428.8497589;0;0;1;0;85.6;ok
