charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
D;0;0;2;0;0;2035;1731279.516;0;32271.34;1731279.516;0;0;0;0;0;32271.34;0;0;0;0;0;0;0;0;1;0;52.5;ok
D;0;0;2;0;0;2036;2062916.745;0;38469.35;2062916.745;0;0;0;0;0;38469.35;0;0;0;0;0;0;0;0;1;0;58.4;ok
D;0;0;2;0;0;2037;771362.0501;0;13667.7;771362.0501;0;0;0;0;0;13667.7;0;0;0;0;0;0;0;0;1;0;58.8;ok
D;0;0;2;0;0;2038;1473137.149;0;35648.97;1473137.149;0;0;0;0;0;35648.97;0;0;0;0;0;0;0;0;1;0;33.2;ok
D;0;0;2;0;0;2039;535153.8742;0;10526.26;535153.8742;0;0;0;0;0;10526.26;0;0;0;0;0;0;0;0;1;0;31.5;ok
D;0;0;2;0;0;2040;1147904.522;0;26632.42;1147904.522;0;0;0;0;0;26632.42;0;0;0;0;0;0;0;0;1;0;32.6;ok
D;0;0;2;0;0;2041;1299492.824;0;24711.69;1299492.824;0;0;0;0;0;24711.69;0;0;0;0;0;0;0;0;1;0;31.8;ok
D;0;0;2;0;0;2042;1169870.633;0;28594.24;1169870.633;0;0;0;0;0;28594.24;0;0;0;0;0;0;0;0;1;0;33.1;ok
D;0;0;2;0;0;2043;1081503.478;0;23236.65;1081503.478;0;0;0;0;0;23236.65;0;0;0;0;0;0;0;0;1;0;29.5;ok
D;0;0;2;0;0;2044;988044.6321;0;16038.24;988044.6321;0;0;0;0;0;16038.24;0;0;0;0;0;0;0;0;1;0;29.9;ok
D;0;0;2;0;0.25;2035;1297062.334;8358.4875;33433.95;1297062.334;0;0;0;0;0;33433.95;0;0;0;0;0;189.2175;0;0;1;0;31.6;ok
D;0;0;2;0;0.25;2036;1546280.939;9828.6225;39314.49;1546280.939;0;0;0;0;0;39314.49;0;0;0;0;0;199.6275;0;0;1;0;33.4;ok
D;0;0;2;0;0.25;2037;578165.4883;3507.2675;14029.07;578165.4883;0;0;0;0;0;14029.07;0;0;0;0;0;4.76;0;0;1;0;35.5;ok
D;0;0;2;0;0.25;2038;1104243.21;9154.6825;36618.73;1104243.21;0;0;0;0;0;36618.73;0;0;0;0;0;557.435;0;0;1;0;32.2;ok
D;0;0;2;0;0.25;2039;401189.4521;2704.75;10819;401189.4521;0;0;0;0;0;10819;0;0;0;0;0;39.64;0;0;1;0;34.4;ok
D;0;0;2;0;0.25;2040;860744.8448;6752.2625;27009.05;860744.8448;0;0;0;0;0;27009.05;0;0;0;0;0;214.45;0;0;1;0;32.6;ok
D;0;0;2;0;0.25;2041;974501.072;6258.9625;25035.85;974501.072;0;0;0;0;0;25035.85;0;0;0;0;0;104.5275;0;0;1;0;32.3;ok
D;0;0;2;0;0.25;2042;877241.5931;7274.56;29098.24;877241.5931;0;0;0;0;0;29098.24;0;0;0;0;0;77.8075;0;0;1;0;31.9;ok
D;0;0;2;0;0.25;2043;810970.6533;5927.04;23708.16;810970.6533;0;0;0;0;0;23708.16;0;0;0;0;0;159.5325;0;0;1;0;33.9;ok
D;0;0;2;0;0.25;2044;740995.9737;4064.1925;16256.77;740995.9737;0;0;0;0;0;16256.77;0;0;0;0;0;98.365;0;0;1;0;32.6;ok
D;0;0;2;0;0.5;2035;864708.2226;16716.975;33433.95;864708.2226;0;0;0;0;0;33433.95;0;0;0;0;0;378.435;0;0;1;0;31.5;ok
D;0;0;2;0;0.5;2036;1030853.959;19657.245;39314.49;1030853.959;0;0;0;0;0;39314.49;0;0;0;0;0;399.255;0;0;1;0;33.8;ok
D;0;0;2;0;0.5;2037;385443.6589;7014.535;14029.07;385443.6589;0;0;0;0;0;14029.07;0;0;0;0;0;9.52;0;0;1;0;35.1;ok
D;0;0;2;0;0.5;2038;736162.1397;18309.365;36618.73;736162.1397;0;0;0;0;0;36618.73;0;0;0;0;0;1114.87;0;0;1;0;38.6;ok
D;0;0;2;0;0.5;2039;267459.6347;5409.5;10819;267459.6347;0;0;0;0;0;10819;0;0;0;0;0;79.28;0;0;1;0;34.3;ok
