,pv_mw,bess_mw,bess_h,contract_share,target_IRR,required_PPA_eur_MWh,final_IRR,NPV_at_target_IRR_kEUR,capex_kEUR,status,target_IRR_pct
1,0.0,4.0,4.0,0.0,0.1,0.0,0.11962142543486977,487.0,4555.0,Already reaches target IRR,10.0
2,0.0,6.0,4.0,0.0,0.1,0.0,0.1362844907434321,1334.0,6405.0,Already reaches target IRR,10.0
3,0.0,8.0,2.0,0.0,0.1,0.0,0.1059789444004106,185.0,5807.0,Already reaches target IRR,10.0
4,0.0,6.0,4.0,0.25,0.1,0.0,0.11868078423190569,602.0,6405.0,Already reaches target IRR,10.0
5,0.0,8.0,4.0,0.5,0.1,0.0,0.1166866705412575,657.0,8255.0,Already reaches target IRR,10.0
6,0.0,10.0,2.0,0.0,0.1,0.0,0.11405957816001548,542.0,7045.0,Already reaches target IRR,10.0
7,0.0,8.0,4.0,0.0,0.1,0.0,0.1439897825108819,2134.0,8255.0,Already reaches target IRR,10.0
8,0.0,8.0,4.0,0.25,0.1,0.0,0.13236782683749707,1436.0,8255.0,Already reaches target IRR,10.0
9,0.0,12.0,2.0,0.25,0.1,0.0,0.10021489275131477,9.0,8283.0,Already reaches target IRR,10.0
10,0.0,12.0,4.0,0.0,0.1,0.0,0.13789845550832888,2672.0,11955.0,Already reaches target IRR,10.0
11,0.0,12.0,4.0,0.5,0.1,0.0,0.11957630811603302,1204.0,11955.0,Already reaches target IRR,10.0
12,0.0,12.0,2.0,0.0,0.1,0.0,0.11658868924395281,762.0,8283.0,Already reaches target IRR,10.0
13,0.0,10.0,4.0,0.5,0.1,0.0,0.12821680017446588,1456.0,10105.0,Already reaches target IRR,10.0
14,0.0,10.0,4.0,0.75,0.1,0.0,0.11436155762193365,666.0,10105.0,Already reaches target IRR,10.0
15,0.0,10.0,4.0,0.0,0.1,0.0,0.1481099029920499,2896.0,10105.0,Already reaches target IRR,10.0
16,0.0,10.0,4.0,0.25,0.1,0.0,0.13945014666580907,2218.0,10105.0,Already reaches target IRR,10.0
17,0.0,12.0,4.0,0.75,0.1,0.0,0.10751147064814141,422.0,11955.0,Already reaches target IRR,10.0
18,0.0,12.0,4.0,0.25,0.1,0.0,0.1296925766548033,1968.0,11955.0,Already reaches target IRR,10.0
19,2.0,10.0,4.0,0.0,0.1,0.0,0.13690667253105437,2421.0,11129.0,Already reaches target IRR,10.0
20,2.0,12.0,2.0,0.0,0.1,0.0,0.10611975893591549,314.0,9307.0,Already reaches target IRR,10.0
21,4.0,6.0,4.0,0.0,0.1,0.0,0.10826361394411577,392.0,8453.0,Already reaches target IRR,10.0
22,2.0,12.0,4.0,0.5,0.1,0.0,0.10509747128996486,335.0,12979.0,Already reaches target IRR,10.0
23,2.0,12.0,4.0,0.25,0.1,0.0,0.11820558123827625,1296.0,12979.0,Already reaches target IRR,10.0
24,2.0,12.0,4.0,0.0,0.1,0.0,0.1287741385264672,2183.0,12979.0,Already reaches target IRR,10.0
25,2.0,10.0,4.0,0.25,0.1,0.0,0.12548020995215678,1559.0,11129.0,Already reaches target IRR,10.0
26,2.0,10.0,4.0,0.5,0.1,0.0,0.11068407905758669,597.0,11129.0,Already reaches target IRR,10.0
27,2.0,6.0,4.0,0.0,0.1,0.0,0.12090724339527452,881.0,7429.0,Already reaches target IRR,10.0
28,2.0,10.0,2.0,0.0,0.1,0.0,0.10206767534149452,91.0,8069.0,Already reaches target IRR,10.0
29,2.0,8.0,4.0,0.25,0.1,0.0,0.11601509768120188,789.0,9279.0,Already reaches target IRR,10.0
30,2.0,8.0,4.0,0.0,0.1,0.0,0.1310535909899506,1674.0,9279.0,Already reaches target IRR,10.0
31,2.0,4.0,4.0,0.0,0.1,0.0,0.10143753330534298,43.0,5579.0,Already reaches target IRR,10.0
32,4.0,8.0,4.0,0.0,0.1,0.0,0.11995508174642808,1182.0,10303.0,Already reaches target IRR,10.0
33,6.0,8.0,4.0,0.0,0.1,0.0,0.10989368799351684,637.0,11327.0,Already reaches target IRR,10.0
34,6.0,10.0,4.0,0.0,0.1,0.0,0.11774869306468848,1351.0,13177.0,Already reaches target IRR,10.0
35,6.0,10.0,4.0,0.25,0.1,0.0,0.10065833086944653,46.0,13177.0,Already reaches target IRR,10.0
36,6.0,12.0,4.0,0.0,0.1,0.0,0.11280047007764014,1105.0,15027.0,Already reaches target IRR,10.0
37,10.0,10.0,4.0,0.0,0.1,0.0,0.10207903270888548,179.0,15225.0,Already reaches target IRR,10.0
