;pv_mw;bess_mw;bess_h;contract_share;target_IRR;required_PPA_eur_MWh;final_IRR;NPV_at_target_IRR_kEUR;avg_revenue_at_required_PPA_kEUR_yr;avg_EBITDA_at_required_PPA_kEUR_yr;capex_kEUR;npv_at_ppa_min_kEUR;npv_at_ppa_max_kEUR;irr_at_ppa_min;irr_at_ppa_max;status;target_IRR_pct
1;2;0;2;1;0.07;67.66250404;0.07;0;317;270;1879;-8421;23734;;0.432451293;Solved;7
2;4;0;2;1;0.07;67.74035599;0.07;0;482;389;2903;-10143;28665;;0.445344229;Solved;7
3;6;0;2;1;0.07;69.75316051;0.07;0;654;515;3927;-12026;32826;;0.441937649;Solved;7
4;8;0;2;1;0.07;71.91469877;0.07;0;827;642;4951;-13967;36712;;0.43654769;Solved;7
5;10;0;2;1;0.07;73.96216679;0.07;0;999;769;5975;-15940;40439;;0.431175548;Solved;7
6;2;0;2;0.75;0.07;74.32478014;0.07;0;316;270;1879;-6879;17290;;0.374464075;Solved;7
7;4;0;2;0.75;0.07;74.46889621;0.07;0;479;386;2903;-8288;20875;;0.378699581;Solved;7
8;12;0;2;1;0.07;75.88232404;0.07;0;1171;895;6999;-17940;44037;;0.426059704;Solved;7
9;6;0;2;0.75;0.07;76.70202423;0.07;0;647;508;3927;-9832;23870;;0.372515523;Solved;7
10;6;2;2;1;0.07;78.37024326;0.07;0;892;675;5165;-13474;31582;;0.371723368;Solved;7
11;4;2;2;1;0.07;78.65609941;0.07;0;728;556;4141;-11738;27301;;0.359539799;Solved;7
12;8;0;2;0.75;0.07;79.14606342;0.07;0;816;632;4951;-11427;26652;;0.365876922;Solved;7
13;8;2;2;1;0.07;79.34968709;0.07;0;1061;798;6189;-15374;35502;;0.377154517;Solved;7
14;6;2;4;1;0.07;80.1148213;0.07;0;948;748;5777;-13738;31331;;0.34932975;Solved;7
15;8;2;4;1;0.07;80.50684193;0.07;0;1114;869;6801;-15562;35312;;0.357721555;Solved;7
16;10;2;2;1;0.07;80.58299739;0.07;0;1230;922;7213;-17332;39242;;0.379911183;Solved;7
17;4;2;4;1;0.07;81.26071072;0.07;0;787;633;4753;-12092;26979;;0.334068093;Solved;7
18;10;0;2;0.75;0.07;81.46181158;0.07;0;985;755;5975;-13051;29313;;0.35987228;Solved;7
19;10;2;4;1;0.07;81.50922633;0.07;0;1283;992;7825;-17494;39073;;0.362518439;Solved;7
20;12;2;2;1;0.07;81.93175562;0.07;0;1400;1046;8237;-19340;42834;;0.381011205;Solved;7
21;2;2;2;1;0.07;82.37193665;0.07;0;583;458;3117;-10154;22253;;0.330142762;Solved;7
22;12;2;4;1;0.07;82.62863418;0.07;0;1452;1116;8849;-19463;42697;;0.365431497;Solved;7
23;12;0;2;0.75;0.07;83.63400456;0.07;0;1154;878;6999;-14699;31873;;0.354454115;Solved;7
24;2;2;4;1;0.07;86.08742701;0.07;0;651;544;3729;-10541;21904;;0.303632115;Solved;7
25;8;4;2;1;0.07;87.0105091;0.07;0;1296;953;7427;-16832;34252;;0.334466223;Solved;7
26;10;4;2;1;0.07;87.09536595;0.07;0;1461;1073;8451;-18708;38061;;0.34178188;Solved;7
27;2;0;2;0.5;0.07;87.64933236;0.07;0;316;269;1879;-5338;10846;;0.304804133;Solved;7
28;12;4;2;1;0.07;87.66364292;0.07;0;1628;1194;9475;-20666;41694;;0.346536232;Solved;7
29;6;4;2;1;0.07;87.78721397;0.07;0;1133;837;6403;-15066;30225;;0.323438751;Solved;7
30;4;0;2;0.5;0.07;87.94643395;0.07;0;477;384;2903;-6432;13085;;0.301416466;Solved;7
31;6;2;2;0.75;0.07;87.98106629;0.07;0;886;668;5165;-11311;22769;;0.314206083;Solved;7
32;8;2;2;0.75;0.07;88.60934526;0.07;0;1050;786;6189;-12843;25634;;0.317420492;Solved;7
33;4;2;2;0.75;0.07;88.7777159;0.07;0;726;553;4141;-9888;19601;;0.305827838;Solved;7
34;12;4;4;1;0.07;89.49037897;0.07;0;1733;1334;10699;-21025;41327;;0.322829135;Solved;7
35;10;4;4;1;0.07;89.54363996;0.07;0;1568;1216;9675;-19164;37618;;0.315882957;Solved;7
36;10;2;2;0.75;0.07;89.69528116;0.07;0;1215;906;7213;-14431;28348;;0.318533241;Solved;7
37;8;4;4;1;0.07;90.27298847;0.07;0;1406;1099;8651;-17396;33723;;0.30629742;Solved;7
38;6;2;4;0.75;0.07;90.2933178;0.07;0;943;742;5777;-11588;22544;;0.295387707;Solved;7
39;8;2;4;0.75;0.07;90.37364004;0.07;0;1105;858;6801;-13077;25444;;0.300931996;Solved;7
40;4;4;2;1;0.07;90.67677506;0.07;0;986;735;5379;-13439;25853;;0.305780604;Solved;7
41;6;0;2;0.5;0.07;90.73068816;0.07;0;642;503;3927;-7638;14913;;0.292903053;Solved;7
42;12;2;2;0.75;0.07;90.99717177;0.07;0;1382;1026;8237;-16060;30939;;0.318365664;Solved;7
43;10;2;4;0.75;0.07;91.1027072;0.07;0;1269;977;7825;-14635;28182;;0.303948928;Solved;7
44;12;2;4;0.75;0.07;92.07827384;0.07;0;1435;1097;8849;-16229;30803;;0.305494242;Solved;7
45;4;2;4;0.75;0.07;92.14804871;0.07;0;785;631;4753;-10248;19316;;0.284207961;Solved;7
46;6;4;4;1;0.07;92.20789145;0.07;0;1250;989;7627;-15743;29605;;0.293019037;Solved;7
47;2;2;2;0.75;0.07;93.51996873;0.07;0;582;457;3117;-8585;15881;;0.284795728;Solved;7
48;8;0;2;0.5;0.07;93.72076839;0.07;0;808;623;4951;-8888;16593;;0.285273944;Solved;7
49;12;6;2;1;0.07;93.76836217;0.07;0;1858;1344;10713;-22083;40479;;0.31813803;Solved;7
50;10;6;2;1;0.07;94.17376989;0.07;0;1693;1226;9689;-20208;36779;;0.310921519;Solved;7
51;8;6;2;1;0.07;95.34097295;0.07;0;1533;1112;8665;-18416;32902;;0.30101382;Solved;7
52;10;0;2;0.5;0.07;96.55799428;0.07;0;973;743;5975;-10162;18186;;0.278810955;Solved;7
53;4;4;4;1;0.07;96.59355087;0.07;0;1112;898;6603;-14206;25163;;0.273855113;Solved;7
54;12;6;4;1;0.07;97.39077666;0.07;0;2018;1558;12549;-22835;39760;;0.289390768;Solved;7
55;6;6;2;1;0.07;97.92154091;0.07;0;1383;1008;7641;-16727;28813;;0.287371093;Solved;7
56;2;4;2;1;0.07;98.19986676;0.07;0;867;663;4355;-11907;20762;;0.274359188;Solved;7
57;2;2;4;0.75;0.07;98.23477613;0.07;0;650;542;3729;-8970;15576;;0.261737344;Solved;7
58;10;4;2;0.75;0.07;98.40514977;0.07;0;1447;1057;8451;-15878;27264;;0.286155434;Solved;7
59;12;4;2;0.75;0.07;98.56032687;0.07;0;1609;1174;9475;-17455;29923;;0.289526206;Solved;7
60;10;6;4;1;0.07;98.7076787;0.07;0;1858;1444;11525;-21083;35963;;0.280362858;Solved;7
61;8;4;2;0.75;0.07;98.82153757;0.07;0;1286;942;7427;-14350;24462;;0.280871071;Solved;7
62;12;0;2;0.5;0.07;99.22306621;0.07;0;1138;862;6999;-11457;19709;;0.273221405;Solved;7
63;12;8;2;1;0.07;100.2723478;0.07;0;2088;1495;11951;-23598;39186;;0.29417249;Solved;7
64;6;4;2;0.75;0.07;100.3681515;0.07;0;1128;830;6403;-12912;21472;;0.272382926;Solved;7
65;8;6;4;1;0.07;101.142909;0.07;0;1705;1338;10501;-19421;31983;;0.268751798;Solved;7
66;12;4;4;0.75;0.07;101.2885013;0.07;0;1717;1318;10699;-17885;29546;;0.269435991;Solved;7
67;10;8;2;1;0.07;101.6803501;0.07;0;1929;1382;10927;-21791;35431;;0.285290983;Solved;7
68;10;4;4;0.75;0.07;101.7550841;0.07;0;1556;1203;9675;-16371;26844;;0.264378357;Solved;7
69;8;4;4;0.75;0.07;103.1401409;0.07;0;1398;1090;8651;-14935;23969;;0.25707183;Solved;7
